node_id,type,degree,indegree,outdegree,degree_centrality,degree_rank
45,normal,34,14,20,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
46,normal,32,15,17,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
47,normal,36,15,21,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
48,normal,29,15,14,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
49,normal,26,13,13,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
50,normal,41,22,19,"{'type': 'normal', 'degree': 0.20603015075376885}",5.0
51,normal,29,16,13,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
52,normal,29,11,18,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
53,normal,33,17,16,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
54,black_hole,17,15,2,"{'type': 'black_hole', 'degree': 0.08542713567839195}",197.0
55,normal,32,16,16,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
56,normal,24,13,11,"{'type': 'normal', 'degree': 0.12060301507537688}",169.0
57,normal,31,14,17,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
58,normal,22,12,10,"{'type': 'normal', 'degree': 0.11055276381909548}",178.0
59,normal,31,17,14,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
60,normal,32,13,19,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
61,normal,20,9,11,"{'type': 'normal', 'degree': 0.10050251256281408}",187.0
62,normal,34,15,19,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
63,normal,27,15,12,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
64,black_hole,19,17,2,"{'type': 'black_hole', 'degree': 0.09547738693467336}",190.0
65,normal,31,9,22,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
66,normal,33,19,14,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
67,normal,41,22,19,"{'type': 'normal', 'degree': 0.20603015075376885}",5.0
68,normal,39,23,16,"{'type': 'normal', 'degree': 0.19597989949748745}",10.0
69,normal,32,16,16,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
70,normal,31,16,15,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
71,normal,36,13,23,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
72,normal,34,18,16,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
73,normal,36,23,13,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
74,normal,30,14,16,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
75,normal,32,13,19,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
